TIEMPO_seg,TOBILLO_DERECHO_x_mts,TOBILLO_DERECHO_y_mts,TOBILLO_IZQUIERDO_x_mts,TOBILLO_IZQUIERDO_y_mts,DISTANCIA_TOBILLOS_mts
0.0,1.78567886353,1.78567886353,-0.392843902111,-0.392843902111,0.65267
304.4757,1.78450250626,1.78450250626,-0.390731602907,-0.390731602907,0.64818
304.51437,1.78428339958,1.78428339958,-0.389933645725,-0.389933645725,0.64513
304.54354,1.78514242172,1.78514242172,-0.389938145876,-0.389938145876,0.64646
304.5849,1.78426539898,1.78426539898,-0.390216439962,-0.390216439962,0.64598
304.6379,1.78188931942,1.78188931942,-0.391456782818,-0.391456782818,0.64407
304.67008,1.78346371651,1.78346371651,-0.391499936581,-0.391499936581,0.64522
304.72315,1.78393936157,1.78393936157,-0.391510486603,-0.391510486603,0.64555
304.78161,1.78357219696,1.78357219696,-0.391334116459,-0.391334116459,0.64543
304.82501,1.79260492325,1.79260492325,-0.391672074795,-0.391672074795,0.65325
304.8673,1.78496456146,1.78496456146,-0.389508008957,-0.389508008957,0.64769
304.90342,1.78479409218,1.78479409218,-0.394714415073,-0.394714415073,0.64874
304.93448,1.78398787975,1.78398787975,-0.393772482872,-0.393772482872,0.64724
304.99261,1.7870182991,1.7870182991,-0.397951453924,-0.397951453924,0.64882
305.02762,1.78673231602,1.78673231602,-0.393300831318,-0.393300831318,0.64091
305.06428,1.78305053711,1.78305053711,-0.392237305641,-0.392237305641,0.63876
305.10577,1.78680408001,1.78680408001,-0.390545964241,-0.390545964241,0.64231
305.13699,1.78577065468,1.78577065468,-0.39358240366,-0.39358240366,0.64187
305.18951,1.78011083603,1.78011083603,-0.400494784117,-0.400494784117,0.63946
305.23048,1.77724289894,1.77724289894,-0.401028811932,-0.401028811932,0.63708
305.26646,1.78348779678,1.78348779678,-0.398041635752,-0.398041635752,0.63449
305.31864,1.78374147415,1.78374147415,-0.406665831804,-0.406665831804,0.62849
305.37177,1.78574752808,1.78574752808,-0.406858503819,-0.406858503819,0.631
305.40524,1.77561712265,1.77561712265,-0.40412902832,-0.40412902832,0.62332
305.44411,1.77776145935,1.77776145935,-0.40441942215,-0.40441942215,0.62547
305.49259,1.77931451797,1.77931451797,-0.403642386198,-0.403642386198,0.62743
305.54236,1.77744054794,1.77744054794,-0.405034691095,-0.405034691095,0.62588
305.57382,1.77077329159,1.77077329159,-0.405631482601,-0.405631482601,0.61889
305.62053,1.76592993736,1.76592993736,-0.405865252018,-0.405865252018,0.61494
305.66025,1.74419999123,1.74419999123,-0.406136333942,-0.406136333942,0.59663
305.724,1.725055933,1.725055933,-0.402612060308,-0.402612060308,0.58201
305.7636,1.65778768063,1.65778768063,-0.405092537403,-0.405092537403,0.51683
305.8101,1.64064157009,1.64064157009,-0.406750500202,-0.406750500202,0.49928
305.841,1.57397997379,1.57397997379,-0.407253593206,-0.407253593206,0.42544
305.88493,1.4702064991,1.4702064991,-0.423561125994,-0.423561125994,0.27397
305.92812,1.42150092125,1.42150092125,-0.428898513317,-0.428898513317,0.19536
305.96391,1.36548173428,1.36548173428,-0.428935885429,-0.428935885429,0.14114
306.00382,1.30144965649,1.30144965649,-0.376634210348,-0.376634210348,0.19772
306.05128,1.17597556114,1.17597556114,-0.399253517389,-0.399253517389,0.45016
306.10362,1.10147452354,1.10147452354,-0.394329875708,-0.394329875708,0.52343
306.15214,1.02403759956,1.02403759956,-0.441719591618,-0.441719591618,0.60408
306.18568,1.01389539242,1.01389539242,-0.416801720858,-0.416801720858,0.60756
306.21792,1.0136859417,1.0136859417,-0.414578944445,-0.414578944445,0.61134
306.26862,0.955136418343,0.955136418343,-0.42831993103,-0.42831993103,0.67096
306.30855,0.948309242725,0.948309242725,-0.426362931728,-0.426362931728,0.67496
306.34068,0.94285094738,0.94285094738,-0.425395488739,-0.425395488739,0.67936
306.3733,0.943699598312,0.943699598312,-0.427011370659,-0.427011370659,0.67596
306.41901,0.944498479366,0.944498479366,-0.429803550243,-0.429803550243,0.67133
306.46115,0.943301796913,0.943301796913,-0.43045938015,-0.43045938015,0.66742
306.50949,0.943544626236,0.943544626236,-0.428228229284,-0.428228229284,0.63506
306.5408,0.943554997444,0.943554997444,-0.433180600405,-0.433180600405,0.64486
306.59184,0.942613482475,0.942613482475,-0.309601336718,-0.309601336718,0.51126
306.65051,0.94239127636,0.94239127636,-0.324421167374,-0.324421167374,0.46304
306.69705,0.939923048019,0.939923048019,-0.340240210295,-0.340240210295,0.43659
306.74452,0.939079225063,0.939079225063,-0.342817276716,-0.342817276716,0.41969
306.77577,0.939596533775,0.939596533775,-0.370446681976,-0.370446681976,0.38864
306.8088,0.941042423248,0.941042423248,-0.462137848139,-0.462137848139,0.22421
306.84059,0.941017687321,0.941017687321,-0.464071154594,-0.464071154594,0.28663
306.86942,0.939601957798,0.939601957798,-0.462866008282,-0.462866008282,0.34146
306.90565,0.936715245247,0.936715245247,-0.469672650099,-0.469672650099,0.42665
306.95046,0.933607697487,0.933607697487,-0.454311549664,-0.454311549664,0.58833
306.99367,0.929942190647,0.929942190647,-0.449894607067,-0.449894607067,0.62954
307.03219,0.925757288933,0.925757288933,-0.459643006325,-0.459643006325,0.66249
307.09036,0.92307806015,0.92307806015,-0.446614176035,-0.446614176035,0.67596
307.13367,0.921839892864,0.921839892864,-0.443713247776,-0.443713247776,0.67809
307.17222,0.921243607998,0.921243607998,-0.440443843603,-0.440443843603,0.67987
307.22044,0.910273492336,0.910273492336,-0.420237123966,-0.420237123966,0.67522
307.27682,0.907717108727,0.907717108727,-0.430803000927,-0.430803000927,0.69819
307.31549,0.898047924042,0.898047924042,-0.431583464146,-0.431583464146,0.69436
307.36757,0.881538748741,0.881538748741,-0.43815100193,-0.43815100193,0.68976
307.40073,0.861048460007,0.861048460007,-0.442177534103,-0.442177534103,0.67713
307.45451,0.784548521042,0.784548521042,-0.442236840725,-0.442236840725,0.61608
307.49581,0.755097270012,0.755097270012,-0.442874073982,-0.442874073982,0.59123
307.5421,0.711484372616,0.711484372616,-0.435525894165,-0.435525894165,0.55664
307.57007,0.650185644627,0.650185644627,-0.428383499384,-0.428383499384,0.49705
307.62642,0.537513196468,0.537513196468,-0.419599562883,-0.419599562883,0.38015
307.6664,0.476831316948,0.476831316948,-0.473083466291,-0.473083466291,0.35878
307.70432,0.400444746017,0.400444746017,-0.480520516634,-0.480520516634,0.31257
