TIEMPO_seg,TOBILLO_DERECHO_x_mts,TOBILLO_DERECHO_y_mts,TOBILLO_IZQUIERDO_x_mts,TOBILLO_IZQUIERDO_y_mts,DISTANCIA_TOBILLOS_mts
0.0,0,0,1,1,0
24.35888,0,0,1,1,0
24.41353,0,0,1,1,0
24.47144,0,0,1,1,0
24.53335,0,0,1,1,0
24.59481,0,0,1,1,0
24.65885,0,0,1,1,0
24.72335,0,0,1,1,0
24.76683,0,0,1,1,0
24.84041,0,0,1,1,0
24.91927,0,0,1,1,0
24.9746,0,0,1,1,0
25.04287,0,0,1,1,0
25.08988,0,0,1,1,0
25.12727,0,0,1,1,0
25.18669,0,0,1,1,0
25.24672,0,0,1,1,0
25.31143,0,0,1,1,0
25.37828,0,0,1,1,0
25.44325,0,0,1,1,0
25.51496,0,0,1,1,0
25.58692,0,0,1,1,0
25.65475,0,0,1,1,0
25.74931,0,0,1,1,0
25.8184,0,0,1,1,0
25.88269,0,0,1,1,0
25.95078,0,0,1,1,0
26.03248,0,0,1,1,0
26.09895,0,0,1,1,0
26.16515,0,0,1,1,0
26.23807,0,0,1,1,0
26.30025,0,0,1,1,0
26.37881,0,0,1,1,0
26.43532,0,0,1,1,0
26.50254,0,0,1,1,0
26.57323,0,0,1,1,0
26.63885,0,0,1,1,0
26.70723,0,0,1,1,0
26.77086,0,0,1,1,0
26.84333,0,0,1,1,0
26.88683,0,0,1,1,0
26.95012,0,0,1,1,0
27.01431,0,0,1,1,0
27.07218,0,0,1,1,0
27.17083,-0.0144929271191,-0.0144929271191,-0.52475041151,-0.52475041151,0.65415
27.24595,-0.0218773111701,-0.0218773111701,-0.538368284702,-0.538368284702,0.61794
27.31069,-0.0191389676183,-0.0191389676183,-0.53874027729,-0.53874027729,0.62278
27.3785,0.00870595965534,0.00870595965534,-0.536809325218,-0.536809325218,0.65234
27.45392,0.0538564361632,0.0538564361632,-0.529138326645,-0.529138326645,0.70734
27.51707,0.0905081927776,0.0905081927776,-0.52789837122,-0.52789837122,0.76467
27.58622,0.130430072546,0.130430072546,-0.525703549385,-0.525703549385,0.82047
27.64066,0.144169345498,0.144169345498,-0.523925840855,-0.523925840855,0.83902
27.68212,0.163268864155,0.163268864155,-0.523471415043,-0.523471415043,0.86498
27.74514,0.189875751734,0.189875751734,-0.520896792412,-0.520896792412,0.89962
27.8065,0.193097144365,0.193097144365,-0.520960628986,-0.520960628986,0.90497
27.85869,0.196531325579,0.196531325579,-0.519631743431,-0.519631743431,0.90989
27.92311,0.18940345943,0.18940345943,-0.521100640297,-0.521100640297,0.90483
27.99481,0.187780097127,0.187780097127,-0.522460520267,-0.522460520267,0.90182
28.0539,0.188373714685,0.188373714685,-0.525305390358,-0.525305390358,0.90624
28.10591,0.188722386956,0.188722386956,-0.513688445091,-0.513688445091,0.90674
28.17201,0.188952475786,0.188952475786,-0.518273174763,-0.518273174763,0.87622
28.22696,0.191464871168,0.191464871168,-0.514809012413,-0.514809012413,0.85158
28.31032,0.191402241588,0.191402241588,-0.498142272234,-0.498142272234,0.79226
28.37774,0.191409140825,0.191409140825,-0.507322967052,-0.507322967052,0.73426
28.46098,0.191067054868,0.191067054868,-0.502461016178,-0.502461016178,0.71611
28.50627,0.190287590027,0.190287590027,-0.5019069314,-0.5019069314,0.71225
28.55859,0.189954787493,0.189954787493,-0.499737679958,-0.499737679958,0.70885
28.63433,0.190912604332,0.190912604332,-0.501232981682,-0.501232981682,0.70417
28.71457,0.189517989755,0.189517989755,-0.505056858063,-0.505056858063,0.67972
28.78189,0.187384426594,0.187384426594,-0.499443233013,-0.499443233013,0.6967
28.8357,0.188704565167,0.188704565167,-0.499322116375,-0.499322116375,0.70852
28.90098,0.187678426504,0.187678426504,-0.499384343624,-0.499384343624,0.70737
28.97878,0.188167273998,0.188167273998,-0.507966816425,-0.507966816425,0.68998
29.03794,0.190376207232,0.190376207232,-0.506493926048,-0.506493926048,0.71578
29.10319,0.189215347171,0.189215347171,-0.504907011986,-0.504907011986,0.71616
29.14968,0.187709510326,0.187709510326,-0.505231618881,-0.505231618881,0.71849
29.21073,0.188128620386,0.188128620386,-0.505085468292,-0.505085468292,0.7183
29.26655,0.189169988036,0.189169988036,-0.504112243652,-0.504112243652,0.71992
29.32567,0.190565913916,0.190565913916,-0.503170907497,-0.503170907497,0.719
29.3849,0.19128985703,0.19128985703,-0.505871593952,-0.505871593952,0.72838
29.4306,0.191305935383,0.191305935383,-0.506104171276,-0.506104171276,0.72506
29.47879,0.190096154809,0.190096154809,-0.504305124283,-0.504305124283,0.72572
29.53005,0.187973827124,0.187973827124,-0.504245698452,-0.504245698452,0.72225
29.59439,0.190339446068,0.190339446068,-0.503684878349,-0.503684878349,0.72579
29.66376,0.190559208393,0.190559208393,-0.503524124622,-0.503524124622,0.7263
29.72632,0.190785184503,0.190785184503,-0.503152966499,-0.503152966499,0.72297
29.79258,0.191289052367,0.191289052367,-0.501944482327,-0.501944482327,0.7229
29.85984,0.190223053098,0.190223053098,-0.500979363918,-0.500979363918,0.71696
29.922,0.190928041935,0.190928041935,-0.502011358738,-0.502011358738,0.72215
29.97644,0.190089970827,0.190089970827,-0.502865314484,-0.502865314484,0.71828
30.03753,0.190633520484,0.190633520484,-0.502075791359,-0.502075791359,0.71909
30.09078,0.191458985209,0.191458985209,-0.504320442677,-0.504320442677,0.71314
30.15446,0.191518634558,0.191518634558,-0.500693976879,-0.500693976879,0.7142
30.22995,0.192061021924,0.192061021924,-0.500820219517,-0.500820219517,0.72663
30.27386,0.191205710173,0.191205710173,-0.501237213612,-0.501237213612,0.72555
30.34157,0.191601932049,0.191601932049,-0.502779603004,-0.502779603004,0.72232
30.41158,0.192170321941,0.192170321941,-0.50191116333,-0.50191116333,0.72452
30.47755,0.190189838409,0.190189838409,-0.501115620136,-0.501115620136,0.71968
30.54272,0.190990716219,0.190990716219,-0.502587676048,-0.502587676048,0.72277
30.60582,0.191254347563,0.191254347563,-0.502253115177,-0.502253115177,0.72538
30.67334,0.186903715134,0.186903715134,-0.502705335617,-0.502705335617,0.71792
30.73009,0.189643293619,0.189643293619,-0.502213656902,-0.502213656902,0.72236
30.78657,0.189953386784,0.189953386784,-0.501288950443,-0.501288950443,0.72519
30.85013,0.191465526819,0.191465526819,-0.502417385578,-0.502417385578,0.73482
30.91367,0.190405726433,0.190405726433,-0.503717064857,-0.503717064857,0.73678
30.97661,0.191093221307,0.191093221307,-0.501194000244,-0.501194000244,0.73364
31.02344,0.193095833063,0.193095833063,-0.501685261726,-0.501685261726,0.7386
31.08543,0.193851798773,0.193851798773,-0.50352036953,-0.50352036953,0.74028
31.1575,0.197772681713,0.197772681713,-0.507548630238,-0.507548630238,0.76539
31.2215,0.197992086411,0.197992086411,-0.506676912308,-0.506676912308,0.77184
31.2834,0.201021105051,0.201021105051,-0.496074229479,-0.496074229479,0.73962
31.34551,0.200492233038,0.200492233038,-0.499269276857,-0.499269276857,0.75958
31.39807,0.201212629676,0.201212629676,-0.502789199352,-0.502789199352,0.76524
31.45832,0.201563805342,0.201563805342,-0.522173702717,-0.522173702717,0.7664
31.52253,0.202572867274,0.202572867274,-0.507266700268,-0.507266700268,0.7791
31.58832,0.201780959964,0.201780959964,-0.507077217102,-0.507077217102,0.76446
31.65405,0.201465830207,0.201465830207,-0.522803068161,-0.522803068161,0.76896
31.7195,0.201819658279,0.201819658279,-0.52322101593,-0.52322101593,0.76129
31.78646,0.200664535165,0.200664535165,-0.51988452673,-0.51988452673,0.75082
31.85421,0.201736226678,0.201736226678,-0.523241519928,-0.523241519928,0.75444
31.92173,0.208080902696,0.208080902696,-0.536237359047,-0.536237359047,0.77254
31.97745,0.201273262501,0.201273262501,-0.53746086359,-0.53746086359,0.76218
32.03721,0.222038462758,0.222038462758,-0.537021577358,-0.537021577358,0.79615
32.09833,0.208238378167,0.208238378167,-0.53605723381,-0.53605723381,0.77427
32.1613,0.2018417418,0.2018417418,-0.533985257149,-0.533985257149,0.76381
32.2189,0.200171202421,0.200171202421,-0.531064808369,-0.531064808369,0.76148
32.26172,0.20138463378,0.20138463378,-0.530749797821,-0.530749797821,0.76339
32.32592,0.198194056749,0.198194056749,-0.533330559731,-0.533330559731,0.75873
32.36443,0.20313975215,0.20313975215,-0.534629225731,-0.534629225731,0.76771
32.41128,0.197032958269,0.197032958269,-0.534388720989,-0.534388720989,0.76009
32.47526,0.190153434873,0.190153434873,-0.529768288136,-0.529768288136,0.75375
32.53833,0.189119189978,0.189119189978,-0.521339416504,-0.521339416504,0.74656
32.60215,0.187058314681,0.187058314681,-0.510673642159,-0.510673642159,0.75086
32.67387,0.186843454838,0.186843454838,-0.508656263351,-0.508656263351,0.76654
32.74138,0.186617285013,0.186617285013,-0.515581130981,-0.515581130981,0.83066
32.80139,0.185917764902,0.185917764902,-0.524220466614,-0.524220466614,0.91163
32.86726,0.185456737876,0.185456737876,-0.54092913866,-0.54092913866,1.0046
32.9303,0.18505333364,0.18505333364,-0.525094807148,-0.525094807148,1.04307
33.01209,0.184040889144,0.184040889144,-0.496692538261,-0.496692538261,1.10361
33.07017,0.18404263258,0.18404263258,-0.497535705566,-0.497535705566,1.10754
